distribution,params,log_likelihood,aic,bic,ks_stat,ks_pvalue,bhattacharyya,fisher_rao,rank_aic,rank_bic,rank_ks,rank_bhat,rank_fr,rank_total
f,"(9.289288159752896, 4.16920719422023, -0.2566586144222416, 5.629757177884468)",-201542.8407040129,403093.6814080258,403129.88122026034,0.027019916783637576,2.364406554641288e-40,0.0011902133943067945,0.09755987972965476,2,2,2,1,1,1.6
genextreme,"(-0.5554074106770326, 4.385082976486263, 3.6827109540139054)",-201516.2049841775,403038.409968355,403065.5598275309,0.021334517930427233,2.5632999771735674e-25,0.0017533455318759974,0.11840003484068448,1,1,1,3,3,1.8
lognorm,"(1.0004875401968372, 0.07133709954608211, 6.015151952769439)",-202273.96791196894,404553.9358239379,404581.0856831138,0.043060157604393856,7.577084896311719e-102,0.0016883618305686134,0.11618646585343856,3,3,3,2,2,2.6
invgauss,"(1.441436707212788, -0.2895532748475899, 7.591489529762977)",-203256.17707800528,406518.35415601055,406545.50401518645,0.0631533089098687,1.1164169856269405e-218,0.0028604838644512125,0.15120204889960348,4,4,4,4,4,4
pareto,"(3.9910973906534557, -30.236926300235623, 30.39692630023562)",-206498.90485838463,413003.80971676926,413030.95957594516,0.10650648325946963,0,0.004526637410775145,0.19015386161114164,5,5,5,5,5,5
chi2,"(1.7907263199472205, 0.15999999999999998, 5.875186745751503)",-211105.99218481284,422217.9843696257,422245.1342288016,0.1177651888081842,0,0.017285531802689165,0.37079552415260564,7,7,7,7,7,7
weibull_min,"(0.7689656343180484, 0.15999999999999998, 9.935432161290304)",-211975.3888162388,423956.7776324776,423983.9274916535,0.1321252965035563,0,0.016327057430019835,0.3604263418835803,8,8,9,6,6,7.4
expon,"(0.16, 10.493038242163296)",-210897.16479195596,421798.3295839119,421816.42949002923,0.12718076274635093,0,0.01779386221192852,0.37617626095801354,6,6,8,9,9,7.6
t,"(1.2029812971090799, 5.262516356071567, 2.9256941478800726)",-214712.97474622677,429431.94949245354,429459.09935162944,0.15490103599001967,0,0.021257571087718315,0.41092452399557544,9,9,10,10,10,9.6
cauchy,"(5.145834427306212, 2.6918505205910908)",-215015.16370172056,430034.32740344113,430052.42730955844,0.1628243749280292,0,0.02270115142421319,0.4245457944716151,10,10,12,11,11,10.8
laplace,"(5.85, 7.295325304650387)",-231646.85764864774,463297.7152972955,463315.8152034128,0.23564942318828178,0,0.017286630003889445,0.3708072348889229,12,12,14,8,8,10.8
beta,"(2.9122813153289573, 66334886832641.16, -1.5721411281426607, 226599267725531.9)",-234379.77593799395,468767.5518759879,468803.75168822246,0.11050370322976283,0,0.028480404332741037,0.4750667769184813,13,13,6,12,12,11.2
gumbel_r,"(5.876205207244391, 6.307982011428697)",-226529.93567868584,453063.8713573717,453081.971263489,0.16078013888656728,0,0.03358469292072074,0.5154446881363272,11,11,11,13,13,11.8
logistic,"(7.582948009911178, 5.537307756562169)",-242193.89001267825,484391.7800253565,484409.8799314738,0.21330429634806553,0,0.052514531839904385,0.6425059276291557,14,14,13,14,14,13.8
rayleigh,"(-11.971763518111901, 20.581588666818174)",-255071.98977493827,510147.97954987653,510166.07945599384,0.3013606795566669,0,0.11308248225602831,0.9333153702144417,15,15,16,16,16,15.6
norm,"(10.653038242163296, 18.311797547167377)",-272313.23322342924,544630.4664468585,544648.5663529758,0.28593939651729505,0,0.1424976073555891,1.0425312167283178,16,16,15,17,17,16.2
gumbel_l,"(23.39547529699913, 81.75986383581329)",-349929.2034189297,699862.4068378594,699880.5067439767,0.5290861391008662,0,0.4406118177653112,1.7430962227681555,17,17,18,18,18,17.6
gamma,"(0.0314985534804475, 0.15999999999999998, 3.247516170928848)",-530061.3993699318,1060128.7987398636,1060155.9485990396,0.9431205054311143,0,0.1069239286145664,0.9084833383641673,20,20,20,15,15,18
weibull_max,"(3.0861258768158777, 884.0572170050923, 933.1201833915329)",-419601.3337104885,839208.667420977,839235.8172801529,0.47978189658866954,0,1.0237884664124823,2.4067042288780542,19,19,17,19,19,18.6
uniform,"(0.16, 731.69)",-415118.3603418828,830240.7206837656,830258.8205898829,0.9051667608510495,0,1.2649466161101393,2.5693062305744925,18,18,19,20,20,19
